2025-06-10 17:23:56 - User: testuser, Action: LOGOUT, Status: success, IP: ::1
2025-06-10 17:25:37 - User: ayan, Action: LOGIN, Status: success, IP: ::1
2025-06-10 17:26:23 - User: ayan, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-10 18:01:12 - User: ayan, Action: LOGOUT, Status: success, IP: ::1
2025-06-10 18:01:32 - User: ayan, Action: LOGIN, Status: success, IP: ::1
2025-06-10 18:10:36 - User: ayan, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-10 18:10:56 - User: ayan, Action: LOGOUT, Status: success, IP: ::1
2025-06-10 18:11:03 - User: testuser, Action: LOGIN, Status: failed, IP: ::1
2025-06-10 18:11:14 - User: testuser, Action: LOGIN, Status: success, IP: ::1
2025-06-10 18:11:40 - User: testuser, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-10 20:39:54 - User: testuser, Action: LOGOUT, Status: success, IP: ::1
2025-06-11 04:12:15 - User: testuser, Action: LOGIN, Status: success, IP: ::1
2025-06-11 04:12:46 - User: testuser, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-11 04:32:23 - User: testlab, Action: LOGIN, Status: success, IP: ::1
2025-06-11 04:32:41 - User: testlab, Action: MFA_VERIFICATION, Status: success, IP: ::1
2025-06-11 04:34:02 - User: testlab, Action: LOGOUT, Status: success, IP: ::1
2025-06-11 04:34:33 - User: testlab, Action: LOGIN, Status: failed, IP: ::1
2025-06-11 04:34:41 - User: tes, Action: LOGIN, Status: failed, IP: ::1
2025-06-11 04:34:47 - User: testlab, Action: LOGIN, Status: failed, IP: ::1
2025-06-11 04:34:51 - User: testlab, Action: LOGIN, Status: failed, IP: ::1
2025-06-11 04:34:57 - User: testlab, Action: LOGIN, Status: failed, IP: ::1
2025-06-11 04:35:02 - User: testlab, Action: LOGIN, Status: failed, IP: ::1
2025-06-11 04:35:06 - User: testlab, Action: LOGIN, Status: failed, IP: ::1
